,IDADE,TIPO_CARTAO,FAIXA_HORARIA_FRQ_PRIMEIRA,FAIXA_HORARIA_FRQ_ULTIMA,HORAS_TRABALHADAS_DIARIAMENTE,DIST_CASA_PARADA,RENDA_MEDIA_ZONA,MEDIA_MORADORES_FAMILIA,MEDIA_AUTOMOVEIS_FAMILIA,MEDIA_MOTOS_FAMILIA,MEDIA_BICICLETAS_FAMILIA,MEDIA_VIAGENS_FAMILIA,VIAGENS_MOTIVO_OUTROS,VIAGENS_MOTIVO_TRABALHO,VIAGENS_MOTIVO_RESIDENCIA,VIAGENS_MOTIVO_ESTUDO,FREQ_MEDIA_DIARIA,FREQ_MEDIA_DIARIA_MAIOR_2
27,adulto,11.0,madrugada,madrugada,6.785714285714286,4462.15488837505,1057.026315789474,3.409090909090909,0.3636363636363636,0.1363636363636364,0.6363636363636364,5.727272727272728,0.253968253968254,0.126984126984127,0.4761904761904762,0.1428571428571428,0.7,0
28,idoso,11.0,madrugada,madrugada,7.314516129032258,1146.52872600589,1774.952830188679,3.147058823529412,0.7352941176470589,0.1029411764705882,0.3235294117647059,5.382352941176471,0.1775956284153005,0.1721311475409836,0.4672131147540984,0.1830601092896175,0.15,0
29,adulto,11.0,madrugada,madrugada,6.07,7532.80733396714,1248.923076923077,3.186440677966102,0.3559322033898305,0.1525423728813559,0.3559322033898305,3.254237288135593,0.0625,0.1927083333333333,0.5,0.2447916666666667,0.7166666666,0
30,adulto,11.0,madrugada,madrugada,6.776623376623377,3521.98846500479,1984.448669201521,2.694690265486726,0.831858407079646,0.07079646017699115,0.2964601769911505,3.730088495575221,0.1245551601423488,0.2455516014234875,0.4792408066429419,0.1506524317912218,0.8166666666000001,0
31,adulto,11.0,madrugada,madrugada,7.51258581235698,2836.63355532107,4166.64406779661,2.531772575250836,1.133779264214047,0.07023411371237458,0.2675585284280936,4.157190635451505,0.1938857602574417,0.1954947707160097,0.4818986323411102,0.1287208366854385,0.7833333334,0
32,adulto,11.0,madrugada,madrugada,5.579831932773109,371.83428203797,1793.281690140845,2.654545454545455,0.7818181818181819,0.1454545454545454,0.2545454545454545,4.672727272727273,0.1439688715953307,0.2373540856031128,0.4630350194552529,0.1556420233463035,0.45,0
33,adulto,11.0,madrugada,madrugada,6.125,283.533700977074,1336.443037974684,2.54,0.38,0.22,0.36,4.3,0.2372093023255814,0.1441860465116279,0.4744186046511628,0.1441860465116279,0.85,0
34,adulto,11.0,madrugada,madrugada,6.65686274509804,4917.4511185686,1525.254545454545,2.557142857142857,0.5714285714285714,0.2142857142857143,0.2714285714285714,4.157142857142857,0.154639175257732,0.2199312714776632,0.4948453608247423,0.1305841924398626,0.4666666666,0
35,adulto,11.0,madrugada,madrugada,6.901554404145077,5397.20126157238,2303.25,2.532786885245902,0.9180327868852459,0.08196721311475409,0.2950819672131147,3.80327868852459,0.08405172413793104,0.2413793103448276,0.4935344827586207,0.1810344827586207,0.3,0
36,adulto,11.0,madrugada,madrugada,6.808988764044944,2212.59608808926,1242.981818181818,3.0,0.4150943396226415,0.169811320754717,0.169811320754717,3.60377358490566,0.1099476439790576,0.193717277486911,0.4816753926701571,0.2146596858638743,0.25,0
37,adulto,11.0,madrugada,madrugada,6.574412532637075,5088.7954433515,2662.114713216958,2.813333333333333,1.044444444444445,0.08,0.2933333333333333,4.742222222222222,0.1668228678537957,0.1893158388003749,0.4873477038425492,0.1565135895032802,0.15,0
38,adulto,11.0,madrugada,madrugada,7.275862068965517,393.239262962026,1675.625,2.354166666666667,0.4375,0.25,0.25,3.958333333333333,0.1684210526315789,0.2315789473684211,0.468421052631579,0.131578947368421,0.4,0
39,adulto,11.0,madrugada,madrugada,6.609375,213.190032048478,2009.025,3.054054054054054,0.6216216216216216,0.1351351351351351,0.3243243243243243,4.378378378378378,0.1666666666666667,0.1790123456790123,0.4814814814814815,0.1728395061728395,0.05,0
40,adulto,11.0,madrugada,madrugada,7.473684210526316,379.385691400499,1847.7,2.115384615384615,0.7307692307692307,0.1923076923076923,0.5769230769230769,4.346153846153846,0.1592920353982301,0.2920353982300885,0.4601769911504425,0.08849557522123894,0.2166666666,0
41,adulto,11.0,madrugada,madrugada,4.789473684210527,2120.942624612,1565.357142857143,3.102564102564103,0.3076923076923077,0.2051282051282051,0.358974358974359,3.743589743589744,0.04794520547945205,0.2397260273972603,0.4931506849315068,0.2191780821917808,1.0,0
42,adulto,11.0,madrugada,madrugada,5.488095238095238,334.85155411144,1549.9125,2.7,0.5,0.08,0.06,2.98,0.1073825503355705,0.2483221476510067,0.4966442953020134,0.1476510067114094,0.25,0
43,adulto,11.0,madrugada,madrugada,7.183206106870229,74.6670902307932,1750.304347826087,2.919463087248322,0.7248322147651006,0.1342281879194631,0.4496644295302014,5.040268456375839,0.1438082556591212,0.1970705725699068,0.4753661784287617,0.1837549933422104,0.1666666666,0
44,adulto,11.0,madrugada,madrugada,7.384615384615385,277.690313016112,2649.214285714286,2.425925925925926,0.5370370370370371,0.03703703703703703,0.1851851851851852,5.185185185185185,0.1678571428571428,0.2071428571428572,0.4785714285714286,0.1464285714285714,0.4333333334,0
45,adulto,11.0,madrugada,madrugada,7.32258064516129,952.61986655657,1198.0,2.8,0.2,0.4666666666666667,0.3333333333333333,5.333333333333333,0.2,0.2,0.5,0.1,0.55,0
46,adulto,11.0,madrugada,madrugada,7.930693069306931,463.476817891566,1562.181818181818,2.352112676056338,0.4788732394366197,0.05633802816901409,0.2816901408450704,3.380281690140845,0.1541666666666667,0.225,0.4916666666666666,0.1291666666666667,0.15,0
47,adulto,11.0,madrugada,madrugada,7.51258581235698,8132.3794960116,4166.64406779661,2.531772575250836,1.133779264214047,0.07023411371237458,0.2675585284280936,4.157190635451505,0.1938857602574417,0.1954947707160097,0.4818986323411102,0.1287208366854385,0.7333333334,0
48,adulto,11.0,madrugada,madrugada,6.553398058252427,2678.22004063115,1301.884615384615,3.212765957446809,0.4468085106382979,0.3617021276595745,0.2765957446808511,5.063829787234043,0.08403361344537816,0.226890756302521,0.4873949579831933,0.2016806722689076,0.2,0
49,adulto,11.0,madrugada,madrugada,6.971014492753623,483.709081339717,1205.709677419355,3.272727272727273,0.5757575757575758,0.3636363636363636,0.696969696969697,5.212121212121212,0.1453488372093023,0.1918604651162791,0.5,0.1627906976744186,0.6,0
50,adulto,11.0,madrugada,madrugada,7.044198895027624,1075.72050948834,2342.528925619835,2.239130434782609,0.9347826086956522,0.1231884057971015,0.2536231884057971,3.615942028985507,0.1723446893787575,0.2124248496993988,0.4829659318637274,0.1322645290581162,1.0166666666,0
51,adulto,11.0,manhã,madrugada,6.125,134.739603280464,1336.443037974684,2.54,0.38,0.22,0.36,4.3,0.2372093023255814,0.1441860465116279,0.4744186046511628,0.1441860465116279,0.8333333334,0
52,idoso,11.0,madrugada,madrugada,6.901554404145077,23.3048184828167,2303.25,2.532786885245902,0.9180327868852459,0.08196721311475409,0.2950819672131147,3.80327868852459,0.08405172413793104,0.2413793103448276,0.4935344827586207,0.1810344827586207,0.3666666666,0
53,adulto,11.0,tarde,noite,6.716049382716049,2711.12472366082,1081.016129032258,3.261904761904762,0.1904761904761905,0.3333333333333333,0.3095238095238095,4.333333333333333,0.07142857142857142,0.1703296703296703,0.4945054945054945,0.2637362637362637,1.2,0
54,adulto,11.0,madrugada,madrugada,7.1,1647.15375114214,1033.342105263158,2.695652173913043,0.3043478260869565,0.3478260869565217,0.2608695652173913,3.043478260869565,0.08571428571428572,0.3,0.5,0.1142857142857143,0.4166666666,0
55,adulto,11.0,madrugada,madrugada,7.720779220779221,10189.6683129536,1389.147540983607,2.125,0.3602941176470588,0.08823529411764706,0.1838235294117647,2.801470588235294,0.1627296587926509,0.2598425196850394,0.4829396325459318,0.09448818897637795,1.0333333334,0
56,adulto,11.0,madrugada,madrugada,7.261855670103093,3640.79668243418,3021.5536159601,2.304347826086957,1.130434782608696,0.06666666666666667,0.4869565217391305,4.295652173913044,0.2071524966261808,0.2125506072874494,0.4723346828609987,0.1079622132253711,0.4333333334,0
57,idoso,11.0,madrugada,madrugada,7.193333333333333,4116.69214742636,1646.622377622378,2.289719626168224,0.3364485981308411,0.07476635514018691,0.1962616822429906,2.747663551401869,0.1224489795918367,0.2653061224489796,0.4795918367346939,0.1326530612244898,0.4833333334,0
58,idoso,11.0,madrugada,madrugada,5.579831932773109,364.15077992399,1793.281690140845,2.654545454545455,0.7818181818181819,0.1454545454545454,0.2545454545454545,4.672727272727273,0.1439688715953307,0.2373540856031128,0.4630350194552529,0.1556420233463035,0.5333333334,0
59,adulto,11.0,madrugada,madrugada,6.07,165.392235022791,1248.923076923077,3.186440677966102,0.3559322033898305,0.1525423728813559,0.3559322033898305,3.254237288135593,0.0625,0.1927083333333333,0.5,0.2447916666666667,0.5833333333999999,0
60,adulto,11.0,madrugada,madrugada,7.930693069306931,93.8632648547523,1562.181818181818,2.352112676056338,0.4788732394366197,0.05633802816901409,0.2816901408450704,3.380281690140845,0.1541666666666667,0.225,0.4916666666666666,0.1291666666666667,0.45,0
61,adulto,11.0,madrugada,madrugada,7.057471264367816,70.1476597641873,1171.35,2.653061224489796,0.2448979591836735,0.2244897959183673,0.2653061224489796,5.061224489795919,0.06048387096774194,0.1693548387096774,0.4959677419354839,0.2741935483870968,0.75,0
62,adulto,11.0,madrugada,madrugada,7.314516129032258,262.831018101779,1774.952830188679,3.147058823529412,0.7352941176470589,0.1029411764705882,0.3235294117647059,5.382352941176471,0.1775956284153005,0.1721311475409836,0.4672131147540984,0.1830601092896175,0.35,0
63,adulto,11.0,madrugada,madrugada,6.463414634146342,1132.47089534762,1248.065217391304,2.384615384615385,0.3846153846153846,0.1282051282051282,0.1025641025641026,3.230769230769231,0.119047619047619,0.1666666666666667,0.4841269841269841,0.2301587301587301,1.1833333334,0
64,adulto,11.0,madrugada,madrugada,7.204013377926421,412.456234815349,2301.052264808362,3.040268456375839,1.073825503355705,0.06711409395973154,0.2013422818791946,6.281879194630872,0.1164529914529915,0.219017094017094,0.4754273504273504,0.1891025641025641,0.15,0
65,adulto,11.0,madrugada,madrugada,7.044198895027624,214.816155600062,2342.528925619835,2.239130434782609,0.9347826086956522,0.1231884057971015,0.2536231884057971,3.615942028985507,0.1723446893787575,0.2124248496993988,0.4829659318637274,0.1322645290581162,0.2666666666,0
66,adulto,11.0,madrugada,madrugada,7.392307692307693,6853.61387797218,2919.361764705882,2.519230769230769,1.111538461538462,0.04230769230769231,0.3307692307692308,4.665384615384616,0.2324814509480627,0.2003297609233306,0.4600164880461665,0.1071723000824402,0.4,0
67,adulto,11.0,madrugada,madrugada,6.928571428571429,927.574774985256,1198.125,2.162790697674418,0.2558139534883721,0.1162790697674419,0.2790697674418605,2.162790697674418,0.1935483870967742,0.1720430107526882,0.4838709677419355,0.1505376344086022,0.15,0
68,adulto,11.0,madrugada,madrugada,6.928571428571429,802.794943554934,1198.125,2.162790697674418,0.2558139534883721,0.1162790697674419,0.2790697674418605,2.162790697674418,0.1935483870967742,0.1720430107526882,0.4838709677419355,0.1505376344086022,0.6333333334,0
69,adulto,11.0,madrugada,madrugada,6.347826086956522,293.562702631967,1212.036585365854,3.289473684210526,0.2894736842105263,0.2105263157894737,0.3421052631578947,5.342105263157895,0.1428571428571428,0.1379310344827586,0.4827586206896552,0.2364532019704433,0.6,0
70,adulto,11.0,madrugada,madrugada,7.294871794871795,257.448649574571,1025.307692307692,3.157894736842105,0.3684210526315789,0.3947368421052632,0.4210526315789473,5.684210526315789,0.09259259259259259,0.1990740740740741,0.4675925925925926,0.2407407407407407,0.4,0
71,adulto,11.0,madrugada,madrugada,6.553398058252427,211.250399272284,1301.884615384615,3.212765957446809,0.4468085106382979,0.3617021276595745,0.2765957446808511,5.063829787234043,0.08403361344537816,0.226890756302521,0.4873949579831933,0.2016806722689076,0.4666666665999999,0
72,adulto,11.0,madrugada,madrugada,6.913043478260869,405.340689807379,1343.164556962025,3.25,0.5454545454545454,0.2272727272727273,0.6590909090909091,5.477272727272728,0.1203319502074689,0.1825726141078838,0.4813278008298755,0.2157676348547718,0.45,0
73,adulto,11.0,madrugada,madrugada,7.225,1425.56836957388,1214.341463414634,2.693877551020408,0.3673469387755102,0.2244897959183673,0.3673469387755102,4.530612244897959,0.1171171171171171,0.1936936936936937,0.481981981981982,0.2072072072072072,0.2,0
74,adulto,11.0,madrugada,madrugada,6.576923076923077,112.8248469157,1031.4,2.411764705882353,0.4705882352941176,0.1764705882352941,0.3529411764705883,3.058823529411764,0.1346153846153846,0.1730769230769231,0.5,0.1923076923076923,0.4,0
75,adulto,11.0,madrugada,madrugada,7.204013377926421,367.96275825131,2301.052264808362,3.040268456375839,1.073825503355705,0.06711409395973154,0.2013422818791946,6.281879194630872,0.1164529914529915,0.219017094017094,0.4754273504273504,0.1891025641025641,0.7833333334000001,0
76,adulto,11.0,madrugada,madrugada,6.67741935483871,9803.55470030196,2012.970297029703,2.953125,0.84375,0.234375,0.34375,5.0,0.159375,0.165625,0.46875,0.20625,0.45,0
77,adulto,11.0,madrugada,madrugada,4.679292929292929,228.494125725667,2077.674418604651,2.973333333333333,0.8066666666666666,0.1266666666666667,0.34,4.986666666666666,0.1831550802139038,0.1991978609625668,0.4598930481283423,0.1577540106951872,0.5,0
