id_municipio,lon,lat,area_km2,n_sinistros,n_vitimas,n_fatal,is_fatal,pib,n_pav,pav,domicilios,populacao,taxa_alfabetizacao,idade_mediana,indice_envelhecimento
2503803,-35.33922315325351,-7.121064221250134,55.963,2.0,3.0,0.0,0.0,81716000.0,0.0,2.3794740698650543,2015.0,5748.0,0.73657,33.0,51.18
4107009,-50.46556211651041,-24.01325204066182,576.263,0.0,0.0,0.0,0.0,318795000.0,0.0,0.0,5044.0,13626.0,0.89891,36.0,61.62
1719004,-47.74152964416963,-10.29894800870779,539.511,0.0,0.0,0.0,0.0,47244000.0,0.0,0.0,853.0,2781.0,0.86834,29.0,34.51
3171006,-46.867394694076445,-17.8689605743205,1913.396,0.0,0.0,0.0,0.0,1133352000.0,0.0,0.0,7548.0,19913.0,0.95492,37.0,59.46
2300101,-39.0368250305725,-7.360575480937809,180.833,0.0,0.0,0.0,0.0,126794000.0,0.0,0.1420586135623708,3495.0,10021.0,0.76837,33.0,50.94
3203403,-41.376810339653645,-21.088619155836067,869.439,25.0,65.0,3.0,1.0,663159000.0,7.747399234137599,25.43245837397245,9435.0,24383.0,0.90671,39.0,83.9
4303301,-54.65528634177223,-28.335331426290587,261.28,1.0,3.0,1.0,1.0,178309000.0,0.0,5.9002831657786805,1895.0,4684.0,0.95911,43.0,117.69
2112456,-45.43747537910667,-2.158824717629985,1507.976,0.0,0.0,0.0,0.0,262626000.0,0.0,0.0,7213.0,31614.0,0.82449,25.0,19.97
3121803,-42.679057326410906,-19.83683001068995,339.375,0.0,0.0,0.0,0.0,95507000.0,0.0,0.0,2590.0,6831.0,0.90929,43.0,123.74
3506003,-49.12615774244088,-22.25396517521643,667.684,0.0,0.0,0.0,0.0,18612853000.0,0.0,0.0,140033.0,371471.0,0.97901,37.0,72.35
2209351,-41.49505024003427,-6.940745940833773,112.189,0.0,0.0,0.0,0.0,44360000.0,0.0,0.0,1400.0,4121.0,0.73251,38.0,76.96
3154507,-42.993376036320846,-16.05447065859845,1315.54,0.0,0.0,0.0,0.0,247902000.0,0.0,0.0,2761.0,8754.0,0.84399,32.0,52.18
4205357,-53.3373366736536,-26.76377856447249,58.457,0.0,0.0,0.0,0.0,79686000.0,0.0,0.0,663.0,1783.0,0.88267,39.0,92.11
2201176,-42.106506572487135,-6.529590146700416,263.943,0.0,0.0,0.0,0.0,42721000.0,0.0,0.0,1463.0,3995.0,0.7809,37.0,70.16
3530003,-50.12429910599872,-19.95175399212768,216.825,0.0,0.0,0.0,0.0,67283000.0,0.0,0.0,1243.0,3126.0,0.94568,44.0,112.3
1101500,-63.18659306273961,-11.782447051070644,4443.991,3.0,9.0,0.0,0.0,381163000.0,0.0,61.60051326596059,3951.0,11158.0,0.9273,32.0,36.73
3162807,-42.77558277389848,-18.513576248458538,478.183,0.0,0.0,0.0,0.0,259718000.0,0.0,0.0,5619.0,15177.0,0.88611,36.0,73.66
3301108,-42.33385553590622,-21.868321799454048,747.21,0.0,0.0,0.0,0.0,915904000.0,0.0,0.0,7289.0,19347.0,0.93113,39.0,80.15
1101492,-63.12313209246185,-12.368146403134952,10948.637,0.0,0.0,0.0,0.0,573985000.0,0.0,83.73347696924246,5799.0,16250.0,0.91855,31.0,29.6
3146701,-42.32889097526456,-21.419051770383746,316.476,0.0,0.0,0.0,0.0,105286000.0,0.0,0.0,2149.0,5690.0,0.91596,41.0,112.27
2611101,-40.57229105661519,-9.019387091722042,4558.905,218.0,512.0,17.0,1.0,8834261000.0,0.0,212.30806428315435,128380.0,385334.0,0.91573,30.0,27.68
2933604,-42.7796326534345,-10.983507063347034,5079.659,0.0,0.0,0.0,0.0,560495000.0,0.3490519904624168,0.0,13521.0,44451.0,0.83194,30.0,39.12
5214606,-48.40134288013218,-14.499054139656035,9846.293,11.0,27.0,5.0,1.0,1345074000.0,0.0,66.95995177486847,13270.0,34723.0,0.88434,38.0,67.42
1101484,-61.46705977735358,-11.90493904023558,541.648,0.0,0.0,0.0,0.0,157330000.0,0.0,0.0,1962.0,5256.0,0.89809,39.0,70.52
1200104,-69.2077737276587,-10.747288939117754,3928.821,8.0,26.0,2.0,1.0,820793000.0,0.0,87.9934359240106,8665.0,25931.0,0.89014,28.0,25.34
3203502,-40.27515947548571,-18.138844951114397,1099.06,0.0,0.0,0.0,0.0,484545000.0,0.0,0.0,7017.0,18869.0,0.87577,36.0,60.26
5107776,-50.79198252657679,-10.33245365559728,6466.228,0.0,0.0,0.0,0.0,320970000.0,0.0,0.0,2338.0,7568.0,0.88873,29.0,28.86
1101476,-61.3153249382128,-11.87867234313772,605.692,0.0,0.0,0.0,0.0,130973000.0,0.0,0.0,1133.0,3076.0,0.87464,37.0,55.39
3521804,-49.05421809545653,-23.471426679070188,1092.884,0.0,0.0,0.0,0.0,997077000.0,0.0,0.0,8665.0,24098.0,0.93874,36.0,53.75
5107768,-55.29388755272425,-13.833544149018543,4740.204,0.0,0.0,0.0,0.0,1409325000.0,0.0,0.0,1050.0,3254.0,0.93242,30.0,20.26
3506102,-48.51073826534873,-20.940425403578047,683.192,0.0,0.0,0.0,0.0,4756160000.0,0.0,0.0,28032.0,76121.0,0.97305,38.0,80.87
